Date,Player,SetOneScore,SetTwoScore,SetThreeScore,SetFourScore,SetFiveScore,1st Serve %,2nd Serve %,Aces,Double Faults,Winners,Unforced Errors,Forced Errors,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Won,Total Points Won,% of Points Won,0-4 Touches,5-8 Touches,9+ Touches,Forehand Winner,Forehand Slice Winner,Forehand Volley Winner,Forehand Return Winner,Forehand Passing Shot Winner,Inside-Out Winner,Inside-In Winner,Backhand Winner,Backhand Slice Winner,Backhand Volley Winner,Backhand Return Winner,Backhand Passing Shot Winner,Approach Winner,Overhead Winner,Drop Shot Winner,Lob Winner,Total Winner,Forehand Forced Error,Forehand Slice Forced Error,Forehand Volley Forced Error,Forehand Return Forced Error,Forehand Passing Shot Forced Error,Inside-Out Forced Error,Inside-In Forced Error,Backhand Forced Error,Backhand Slice Forced Error,Backhand Volley Forced Error,Backhand Return Forced Error,Backhand Passing Shot Forced Error,Approach Forced Error,Overhead Forced Error,Drop Shot Forced Error,Lob Forced Error,Total Forced Error,Forehand Unforced Error,Forehand Slice Unforced Error,Forehand Volley Unforced Error,Forehand Return Unforced Error,Forehand Passing Shot Unforced Error,Inside-Out Unforced Error,Inside-In Unforced Error,Backhand Unforced Error,Backhand Slice Unforced Error,Backhand Volley Unforced Error,Backhand Return Unforced Error,Backhand Passing Shot Unforced Error,Approach Unforced Error,Overhead Unforced Error,Drop Shot Unforced Error,Lob Unforced Error,Total Unforced Error
2024-06-30 19:07:36 +0000,Andrew Ma,2,4,,,,75.86%,100.00%,0,0,7,30,7,29/44 (65.91%),6/14 (42.86%),3/6 (50.00%),6/31 (19.35%),7/21 (33.33%),0/2 (0.00%),48,43.64%,48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,7,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,7,6,0,2,1,0,0,0,6,2,2,3,1,2,0,0,4,30
2024-06-30 19:07:36 +0000,Jovan,6,6,,,,59.62%,90.48%,1,2,12,21,10,25/31 (80.65%),14/21 (66.67%),2/2 (100.00%),15/44 (34.09%),8/14 (57.14%),3/6 (50.00%),62,56.36%,62,0,0,5,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,6,2,0,0,0,4,0,1,1,21

SetNumber,GameNumber,PointNumber,PlayerOneSetScore,PlayerTwoSetScore,PlayerOneGameScore,PlayerTwoGameScore,ServeType,PointDescription
2,2,54,0,1,30,30,Second,Zoravar Sandhu wins the point with a down the line forehand approach winner
2,2,55,0,1,30,40,Second,Andrew Ma loses the point with a wide cross court forehand unforced error
2,2,56,0,2,0,0,Second,Andrew Ma loses the point with a forehand unforced error
2,3,57,0,2,0,15,First,Zoravar Sandhu won the point
2,3,58,0,2,0,30,Second,Andrew Ma loses the point with a down the line net backhand unforced error
2,3,59,0,2,15,30,First,Zoravar Sandhu loses the point with a backhand lob unforced error
2,3,60,0,2,15,40,First,Zoravar Sandhu wins the point with a forehand return winner
2,3,61,0,2,30,40,First,Zoravar Sandhu loses the point with a backhand unforced error
2,3,62,0,2,40,40,First,Zoravar Sandhu loses the point with a forced error
2,3,63,0,2,A,40,First,Andrew Ma wins the point with a cross court forehand approach winner
2,3,64,0,2,40,40,First,Andrew Ma loses the point with a long forehand lob unforced error
2,3,65,0,2,A,40,First,Zoravar Sandhu loses the point with a net backhand slice unforced error
2,3,66,0,2,40,40,Second,Andrew Ma loses the point with a net backhand passing shot unforced error
2,3,67,0,2,A,40,First,Zoravar Sandhu loses the point with a forced error
2,3,68,1,2,0,0,First,Andrew Ma wins the point with a backhand drop shot winner
2,4,69,1,2,0,15,Second,Zoravar Sandhu wins the point with a forehand winner
2,4,70,1,2,0,30,First,Andrew Ma loses the point with a wide backhand volley unforced error
2,4,71,1,2,15,30,Second,Zoravar Sandhu loses the point with a double fault
2,4,72,1,2,15,40,First,Andrew Ma loses the point with a long backhand approach unforced error
2,4,73,1,2,30,40,Second,Zoravar Sandhu loses the point with a wide backhand approach unforced error
2,4,74,1,3,0,0,First,Andrew Ma loses the point with a net forehand return forced error
2,5,75,1,3,15,0,Second,Zoravar Sandhu loses the point with a forced error
2,5,76,1,3,30,0,Second,Andrew Ma wins the point with a cross court backhand passing shot winner
2,5,77,1,3,40,0,Second,Zoravar Sandhu loses the point with a forehand unforced error
2,5,78,2,3,0,0,First,Zoravar Sandhu loses the point with a forced error
2,6,79,2,3,0,15,Second,Andrew Ma loses the point with a net backhand return unforced error
2,6,80,2,3,0,30,Second,Andrew Ma loses the point with a down the line long backhand return unforced error
2,6,81,2,3,0,40,First,Zoravar Sandhu wins the point with a forehand drop shot winner
2,6,82,2,4,0,0,First,Zoravar Sandhu wins the point with a forehand winner
2,7,83,2,4,15,0,First,Zoravar Sandhu loses the point with an unforced error
2,7,84,2,4,30,0,First,Zoravar Sandhu loses the point with a forehand unforced error
2,7,85,2,4,30,15,First,Zoravar Sandhu wins the point with a forehand winner
2,7,86,2,4,30,30,First,Andrew Ma loses the point with a wide forehand lob unforced error
2,7,87,2,4,40,30,First,Zoravar Sandhu loses the point with a forced error
2,7,88,2,4,40,40,First,Zoravar Sandhu wins the point with a forehand passing shot winner
2,7,89,2,4,40,A,Second,Andrew Ma loses the point with a net backhand volley unforced error
2,7,90,2,4,40,40,First,Zoravar Sandhu loses the point with an unforced error
2,7,91,2,4,A,40,First,Zoravar Sandhu loses the point with a forehand unforced error
2,7,92,2,4,40,40,First,Andrew Ma loses the point with a backhand lob unforced error
2,7,93,2,4,A,40,Second,Zoravar Sandhu loses the point with a net backhand drop shot unforced error
2,7,94,3,4,0,0,First,Zoravar Sandhu loses the point with a net backhand approach unforced error
2,8,95,3,4,0,15,Second,Andrew Ma loses the point with a net backhand unforced error
2,8,96,3,4,15,15,Second,Zoravar Sandhu loses the point with a backhand unforced error
2,8,97,3,4,30,15,First,Zoravar Sandhu loses the point with a forced error
2,8,98,3,4,30,30,Second,Andrew Ma loses the point with a forehand forced error
2,8,99,3,4,40,30,Second,Zoravar Sandhu loses the point with a forced error
2,8,100,3,4,40,40,First,Andrew Ma loses the point with a long backhand slice unforced error
2,8,101,3,4,40,A,Second,Andrew Ma loses the point with a backhand unforced error
2,8,102,3,5,0,0,Second,Andrew Ma loses the point with a backhand lob unforced error
2,9,103,3,5,15,0,First,Zoravar Sandhu loses the point with a forced error
2,9,104,3,5,30,0,Second,Zoravar Sandhu loses the point with a forehand unforced error
2,9,105,3,5,40,0,First,Andrew Ma wins the point with a cross court forehand approach winner
2,9,106,4,5,0,0,First,Zoravar Sandhu loses the point with a net forehand approach unforced error
2,10,107,4,5,0,15,First,Andrew Ma loses the point with a long forehand return unforced error
2,10,108,4,5,0,30,Second,Andrew Ma loses the point with a wide forehand volley unforced error
2,10,109,4,5,0,40,First,Andrew Ma loses the point with a long backhand slice unforced error
2,10,110,4,6,0,0,First,Andrew Ma loses the point with a forced error
